activity,Uppm,adjwt,basement,floor,pcterr,region,room,typebldg,wave,area,days,month
0.9,1.66622,789.0981,Y,0,26.8,4,4,1,60,ST LOUIS CITY       MO,0,02/1988
1.3,1.76109,447.6274,Y,0,19.2,3,4,1,47,COLE                MO,1,01/1988
0.3,2.55323,341.6855,N,1,0.0,4,2,1,33,BEAVER              PA,2,03/1988
0.7,1.96705,649.2395,Y,0,39.2,4,4,1,32,HAMPDEN             MA,2,03/1988
1.3,1.42956,579.39685,Y,0,44.7,10,7,1,58,PLYMOUTH            MA,4,03/1988
0.9,2.37618,1060.5416,Y,0,23.1,5,4,1,68,WESTMORELAND        PA,0,12/1988
5.8,1.48424,110.44374,Y,0,5.9,4,4,1,39,BARNES              ND,2,02/1988
0.8,2.5116,579.39685,Y,0,30.6,5,4,1,66,WORCESTER           MA,2,03/1988
1.9,2.09744,1122.8802,Y,0,13.3,3,2,1,76,ADAMS               PA,0,12/1988
0.5,1.30385,294.1031,Y,0,33.7,1,7,1,31,LA PORTE            IN,10,01/1988
3.4,3.28,1122.8802,Y,0,8.9,10,4,1,40,PHILADELPHIA        PA,2,10/1988
0.4,1.64694,426.79886,N,1,0.0,3,3,1,96,MILLER              MO,0,04/1988
1.4,2.021,1020.33856,Y,0,19.0,5,7,1,104,PARKE               IN,2,02/1989
9.8,1.21727,990.41156,Y,1,3.7,4,3,1,47,GOODHUE             MN,0,02/1988
5.7,2.67869,550.75684,Y,1,5.4,8,2,1,89,LUZERNE             PA,8,02/1989
1.4,2.37618,1074.0137,Y,0,16.2,5,0,1,31,WESTMORELAND        PA,8,03/1988
4.0,1.48424,213.76418,Y,1,5.9,4,3,1,29,BARNES              ND,2,02/1988
0.4,1.72085,443.8437,Y,0,0.0,4,0,2,74,FRANKLIN            MO,2,02/1988
0.0,1.0596,7.668845,N,1,0.0,1,1,1,-1,BAY MILLS           MI,0,03/1988
1.7,1.64543,426.79886,Y,0,13.5,5,4,1,24,BENTON              MO,0,03/1988
4.8,1.14643,3.66,Y,0,6.2,4,4,1,-1,STOCKBRIDGE-MUNSEE  WI,0,03/1988
1.0,1.79318,486.6377,N,1,20.5,1,3,1,29,LAKE                IN,0,01/1988
1.5,3.11518,363.43207,Unknown,9,21.9,3,0,0,59,MARICOPA            AZ,5,02/1988
3.2,0.504879,921.8649,Y,0,10.3,5,2,1,29,SHERBURNE           MN,2,03/1988
1.2,3.11518,364.9583,N,1,18.8,3,3,1,54,MARICOPA            AZ,2,02/1988
0.2,1.93676,167.08087,N,1,0.0,4,3,1,114,JENNINGS            IN,2,03/1989
2.2,2.43343,628.9107,Y,0,8.3,6,4,1,4,MIDDLESEX           MA,4,03/1988
1.1,2.06239,235.47133,N,1,18.2,4,3,1,56,CLARK               IN,0,04/1988
1.7,1.79311,426.79886,N,1,17.3,5,1,1,66,JASPER              MO,2,02/1988
8.3,1.38757,55.90113,Y,0,3.8,6,4,0,82,WALSH               ND,8,03/1988
3.1,0.504879,1071.318,Y,0,10.3,5,4,1,49,SHERBURNE           MN,5,02/1988
2.9,1.82664,641.183,Y,0,10.7,2,4,1,26,HAMPSHIRE           MA,2,03/1988
10.8,1.70553,192.26389,Y,0,4.4,4,4,1,37,CASS                ND,2,03/1988
1.5,2.04101,649.2395,Y,0,21.7,8,4,5,2,NORFOLK             MA,2,03/1988
1.1,2.26991,884.216,N,1,27.9,6,3,1,68,CAPE GIRARDEAU      MO,2,02/1988
2.1,1.77863,55.90113,Y,0,11.3,1,4,2,10,MORTON              ND,2,03/1988
0.0,2.71407,120.341354,N,1,0.0,2,3,1,115,MOHAVE              AZ,7,06/1988
4.7,1.54905,193.5074,Y,0,6.6,5,2,1,5,BURLEIGH            ND,3,03/1988
0.0,3.43326,359.16406,N,1,0.0,3,3,1,103,PIMA                AZ,2,06/1988
6.1,1.48399,213.76418,Y,0,5.6,5,4,1,26,WARD                ND,2,02/1988
1.4,0.777248,11.75,Y,0,21.0,4,4,1,-1,SOKAOGAN CHIPPEWA   WI,1,02/1988
3.6,2.17969,807.81647,N,1,7.9,3,1,1,107,MARION              IN,1,02/1989
6.6,1.16237,475.38745,Y,0,6.7,2,4,1,43,ELKHART             IN,9,02/1988
5.7,1.42956,596.0751,Y,0,23.2,10,4,1,52,PLYMOUTH            MA,2,03/1988
4.2,1.54905,193.5074,Y,1,5.7,5,3,2,2,BURLEIGH            ND,2,03/1988
1.2,2.00698,695.08405,Y,0,38.3,7,4,1,69,ESSEX               MA,1,03/1988
1.5,3.11518,378.24384,N,1,12.9,3,1,1,80,MARICOPA            AZ,2,04/1988
8.0,1.62023,108.80514,Y,0,4.1,4,7,1,42,GRAND FORKS         ND,3,02/1988
4.9,1.12399,481.44348,Unknown,0,6.8,1,0,0,36,ST JOSEPH           IN,2,01/1988
4.0,1.98205,1074.0137,Y,0,11.4,3,2,1,87,CENTRE              PA,2,01/1989
0.4,1.96705,649.2395,Y,0,0.0,4,4,1,66,HAMPDEN             MA,1,03/1988
1.7,2.07943,1122.8802,Y,0,16.8,3,4,1,86,FRANKLIN            PA,3,01/1989
2.4,3.43326,359.16406,N,1,11.3,3,3,1,59,PIMA                AZ,0,03/1988
3.7,1.91522,52.79145,Y,0,12.2,1,1,1,59,STARK               ND,2,02/1988
2.8,3.11518,364.9583,N,1,12.2,3,3,1,42,MARICOPA            AZ,0,01/1988
26.9,1.70553,204.49521,Y,0,2.2,4,2,2,76,CASS                ND,0,03/1988
0.8,2.71407,150.24512,N,1,36.4,2,1,1,12,MOHAVE              AZ,7,05/1988
2.7,1.79318,481.44348,Y,0,9.0,1,4,1,59,LAKE                IN,2,03/1988
4.7,1.16237,481.44348,Y,0,6.4,2,4,1,21,ELKHART             IN,10,12/1987
0.3,2.17969,959.2521,Y,1,0.0,3,2,1,27,MARION              IN,2,01/1988
9.7,1.68913,626.5646,Y,0,3.9,9,4,1,76,BRISTOL             MA,1,03/1988
2.3,2.55323,322.1076,Y,0,12.1,4,4,1,43,BEAVER              PA,2,03/1988
1.0,1.82664,626.5646,Y,0,28.6,2,4,1,98,HAMPSHIRE           MA,2,03/1988
2.3,2.00698,588.18805,Y,0,10.6,7,0,1,63,ESSEX               MA,2,03/1988
0.5,1.79318,481.44348,Y,0,45.6,1,4,1,83,LAKE                IN,2,04/1988
1.3,0.603508,2.99619,N,1,23.6,2,3,1,-1,GRAND PORTAGE       MN,2,02/1988
7.4,1.3624,48.849606,Y,0,7.9,1,4,1,82,PEMBINA             ND,4,03/1988
6.3,1.67647,109.027016,Y,0,7.0,4,4,1,66,TRAILL              ND,2,03/1988
3.8,2.42466,136.06097,N,1,7.1,1,3,1,58,NAVAJO              AZ,2,02/1988
37.7,3.28,1122.8802,Y,0,1.9,10,4,1,109,PHILADELPHIA        PA,2,02/1989
3.9,2.49651,993.15466,Y,0,5.3,2,4,1,24,YORK                PA,2,02/1988
3.6,2.04101,559.8317,Unknown,9,17.0,8,0,0,90,NORFOLK             MA,2,03/1988
0.1,0.421763,8.313953,N,1,0.0,1,1,1,-1,SAULT ST. MARIE     MI,8,03/1988
2.6,2.67869,550.75684,Y,0,9.7,8,4,1,64,LUZERNE             PA,2,11/1988
2.9,3.47022,1065.3071,Y,0,9.9,3,4,1,86,MONTOUR             PA,2,01/1989
2.4,2.17969,926.46497,N,1,13.1,3,1,1,73,MARION              IN,0,04/1988
0.4,2.24448,433.44394,Unknown,1,0.0,2,0,0,77,WABASH              IN,0,04/1988
1.3,2.09233,195.07153,Y,0,20.9,1,2,1,73,CLAY                MO,2,03/1988
2.6,1.78923,447.6274,N,1,8.2,2,1,1,60,ADAIR               MO,2,02/1988
1.4,2.17749,486.6377,N,1,24.0,5,3,1,58,SPENCER             IN,3,03/1988
0.9,2.24875,1020.33856,N,1,22.1,3,2,1,31,HENDRICKS           IN,2,01/1988
16.1,2.67031,1065.3071,Y,0,2.9,3,4,1,26,NORTHUMBERLAND      PA,0,03/1988
1.0,1.96309,1020.33856,Y,0,27.7,3,4,1,119,FRANKLIN            IN,2,03/1989
0.6,1.68913,559.8317,Y,0,35.8,9,2,1,75,BRISTOL             MA,2,04/1988
0.9,2.3866,364.9583,Y,0,25.6,2,4,1,37,GILA                AZ,2,12/1987
19.7,2.10811,426.79886,Y,0,2.7,1,4,1,31,JACKSON             MO,2,01/1988
6.3,1.42659,2.764706,Y,1,4.9,2,3,1,-1,UPPER SIOUX         MN,0,03/1988
1.3,1.78492,447.6274,Y,0,19.9,5,2,1,55,DALLAS              MO,3,01/1988
0.8,0.544319,7.4265,Y,1,25.4,2,1,1,-1,LEECH LAKE          MN,0,03/1988
8.7,1.68632,884.216,Y,0,4.0,4,4,1,51,ST LOUIS            MO,3,01/1988
4.4,1.33728,216.32573,Y,0,5.9,6,2,1,48,STUTSMAN            ND,2,02/1988
5.2,2.18034,478.26804,Y,0,5.6,5,2,1,61,CLAY                IN,6,04/1988
2.4,1.77863,55.90113,Y,0,13.8,1,4,1,63,MORTON              ND,2,03/1988
0.8,1.95809,447.6274,N,1,27.7,5,1,1,73,BARTON              MO,2,02/1988
22.3,3.15469,322.1076,Y,0,1.9,7,4,1,90,MONROE              PA,0,02/1989
1.1,2.04101,596.0751,Y,0,17.3,8,4,1,93,NORFOLK             MA,0,04/1988
4.4,2.61898,320.4678,Y,0,7.1,4,4,1,82,BUTLER              PA,2,01/1989
6.5,1.68632,884.216,Unknown,1,4.3,4,0,0,88,ST LOUIS            MO,2,02/1988
1.1,3.43326,378.24384,N,1,23.3,3,3,2,92,PIMA                AZ,5,06/1988
0.5,1.96648,195.07153,N,1,38.4,1,1,1,34,CASS                MO,9,01/1988
2.0,3.43326,359.16406,N,1,12.8,3,3,1,24,PIMA                AZ,2,11/1987
6.4,1.71129,53.39241,Y,0,6.9,1,2,1,61,OLIVER              ND,0,03/1988
5.1,0.717261,10.981366,N,1,6.2,2,3,2,-1,FOND DU LAC         MN,2,02/1988
0.3,1.79311,438.80835,N,1,0.0,5,3,3,58,JASPER              MO,0,02/1988
3.4,2.09744,1074.0137,Y,0,7.9,3,4,1,46,ADAMS               PA,0,11/1988
10.2,2.37618,1065.3071,Y,0,3.6,5,4,1,34,WESTMORELAND        PA,4,03/1988
0.3,2.26437,136.06097,N,1,0.0,1,5,5,123,APACHE              AZ,0,07/1988
1.6,3.28,993.15466,Y,0,73.9,10,4,1,106,PHILADELPHIA        PA,1,02/1989
15.7,2.4165,1060.5416,Y,0,2.9,3,2,1,125,LYCOMING            PA,2,03/1989
1.5,2.57879,993.15466,Y,0,16.9,5,0,1,28,WASHINGTON          PA,2,03/1988
2.9,1.52519,192.26389,Y,0,11.7,5,5,1,66,MOUNTRAIL           ND,2,03/1988
1.7,1.98276,447.6274,Y,0,14.5,1,2,1,10,BUCHANAN            MO,5,03/1988
30.1,2.04101,579.39685,Y,0,2.6,8,2,1,78,NORFOLK             MA,0,05/1988
8.2,1.70553,183.82793,Y,0,4.3,4,4,1,62,CASS                ND,0,03/1988
3.2,2.92643,2157.976,Y,0,12.2,1,4,1,116,MONTGOMERY          PA,0,03/1989
9.8,1.54905,213.76418,Y,0,3.5,5,4,1,55,BURLEIGH            ND,2,02/1988
1.2,2.3866,359.16406,Y,1,17.0,2,2,1,28,GILA                AZ,3,11/1987
1.2,1.58747,147.43077,N,1,17.7,2,3,1,10,GREENLEE            AZ,0,05/1988
4.6,2.13598,433.44394,Y,0,5.6,4,4,1,2,MONROE              IN,3,12/1988
3.7,1.91522,62.80399,Y,0,9.2,1,2,1,22,STARK               ND,9,02/1988
2.0,2.11897,481.44348,N,1,9.5,3,1,1,94,JOHNSON             IN,0,02/1989
0.7,1.80831,430.94482,Y,0,32.0,3,4,1,77,MONITEAU            MO,2,02/1988
3.4,2.28582,1060.5416,Y,0,11.3,5,4,1,80,CAMBRIA             PA,2,12/1988
1.5,2.49759,303.79205,N,1,29.1,2,2,1,31,ALLEN               IN,2,01/1988
1.8,3.43326,364.80402,N,1,17.0,3,3,1,25,PIMA                AZ,2,11/1987
1.5,0.579753,7.935223,Y,0,17.2,4,4,1,-1,ST. CROIX           WI,0,03/1988
1.7,1.79311,443.8437,Y,1,27.1,5,1,1,92,JASPER              MO,2,03/1988
3.4,0.808928,461.2747,Y,1,7.5,2,4,1,38,ROSEAU              MN,2,12/1987
1.0,2.56866,1065.3071,Y,0,20.0,9,4,1,28,ALLEGHENY           PA,2,03/1988
2.1,0.678591,3.697917,Y,0,15.6,4,4,1,-1,LAC DU FLAMBEAU     WI,2,03/1988
3.3,0.907991,2246.9688,Y,0,8.5,3,2,1,28,HENNEPIN            MN,2,01/1988
5.0,2.43343,559.8317,N,0,6.2,6,7,2,50,MIDDLESEX           MA,2,03/1988
6.8,1.54905,218.33786,Y,0,4.5,5,2,1,59,BURLEIGH            ND,5,02/1988
5.0,3.11518,363.43207,N,1,6.4,3,3,1,41,MARICOPA            AZ,0,01/1988
0.3,1.42956,596.0751,Y,1,0.0,10,3,1,62,PLYMOUTH            MA,5,03/1988
0.7,3.43326,359.16406,N,1,28.9,3,1,1,79,PIMA                AZ,2,04/1988
3.2,1.42956,649.2395,Y,0,37.3,10,4,1,50,PLYMOUTH            MA,0,04/1988
1.5,1.66622,893.34094,Y,0,25.5,4,4,2,58,ST LOUIS CITY       MO,2,01/1988
1.4,1.95622,433.44394,N,1,15.5,5,7,1,52,GIBSON              IN,0,04/1988
6.1,1.91522,57.41818,Y,0,9.0,1,1,1,42,STARK               ND,0,03/1988
3.0,2.09744,993.15466,Unknown,0,11.2,3,0,0,132,ADAMS               PA,2,03/1989
19.4,2.07943,993.15466,Y,0,2.2,3,4,1,135,FRANKLIN            PA,2,03/1989
3.3,3.43326,359.16406,Unknown,9,16.9,3,0,0,53,PIMA                AZ,0,02/1988
1.6,2.17749,478.26804,Y,0,14.6,5,4,1,88,SPENCER             IN,2,12/1988
1.7,2.43343,597.85675,Y,0,15.4,6,4,1,59,MIDDLESEX           MA,2,03/1988
2.1,2.56866,1122.8802,Y,0,10.5,9,7,1,89,ALLEGHENY           PA,2,01/1989
4.8,2.61898,315.78497,Y,0,5.1,4,7,1,127,BUTLER              PA,2,03/1989
0.2,2.00698,641.183,Y,1,0.0,7,3,2,58,ESSEX               MA,4,03/1988
10.6,2.45192,589.0869,Y,0,3.8,6,4,1,42,CLEARFIELD          PA,1,05/1988
4.7,2.5027,2133.4246,Y,0,7.4,1,2,1,50,BERKS               PA,0,11/1988
7.4,2.38025,589.0869,Y,0,4.9,6,4,1,63,VENANGO             PA,0,12/1988
3.3,2.49759,292.21954,Y,0,8.8,2,7,1,67,ALLEN               IN,2,03/1988
1.9,2.84751,322.1076,Y,0,12.0,7,0,1,127,BRADFORD            PA,8,03/1989
0.1,2.66527,364.80402,N,1,0.0,2,2,1,8,YAVAPAI             AZ,0,05/1988
0.7,2.5116,625.01996,Y,0,30.2,5,4,2,57,WORCESTER           MA,0,04/1988
0.6,1.79318,486.6377,Y,0,28.7,1,2,1,117,LAKE                IN,7,03/1989
10.2,1.58917,1024.4429,Y,0,3.1,4,2,1,43,WINONA              MN,2,01/1988
2.6,1.66622,884.216,Y,0,7.3,4,4,1,70,ST LOUIS CITY       MO,0,02/1988
1.7,0.870415,8.030303,Y,1,9.6,4,3,2,-1,RED CLIFF           WI,2,03/1988
0.2,1.98347,481.44348,N,1,0.0,3,3,1,65,OWEN                IN,0,04/1988
4.5,3.28,1065.3071,Y,0,11.0,10,4,1,69,PHILADELPHIA        PA,1,11/1988
12.9,3.15469,315.78497,Y,0,3.5,7,4,1,111,MONROE              PA,4,02/1989
6.7,0.421763,7.668845,N,1,5.4,1,1,1,-1,BAY MILLS           MI,0,03/1988
1.7,2.00134,993.15466,Y,0,18.8,5,4,1,30,FAYETTE             PA,2,03/1988
1.1,2.71407,147.43077,N,1,17.1,2,3,1,34,MOHAVE              AZ,4,12/1987
5.4,1.88168,926.46497,Y,1,7.0,5,7,1,109,KNOX                IN,4,02/1989
1.0,3.11518,364.80402,N,1,38.4,3,7,1,9,MARICOPA            AZ,0,05/1988
5.8,1.68913,626.5646,Y,0,11.7,9,2,1,10,BRISTOL             MA,1,03/1988
0.4,2.17261,195.62753,Y,1,0.0,6,2,1,9,ST FRANCOIS         MO,2,03/1988
0.9,3.43326,359.16406,N,1,19.4,3,3,1,64,PIMA                AZ,3,03/1988
0.6,2.24475,675.416,Unknown,9,33.5,6,0,0,25,MERCER              PA,2,02/1988
1.8,1.14684,110.44374,Y,0,11.9,3,7,1,42,MCHENRY             ND,2,02/1988
0.7,3.11518,364.9583,N,1,35.6,3,3,1,66,MARICOPA            AZ,3,03/1988
8.0,1.60124,1177.3773,Y,0,3.8,5,2,1,39,STEVENS             MN,2,01/1988
1.2,3.28,1065.3071,Y,0,16.7,10,4,1,81,PHILADELPHIA        PA,2,01/1989
1.0,3.11518,364.9583,Y,0,24.8,3,2,2,85,MARICOPA            AZ,0,06/1988
1.3,1.57138,443.8437,Unknown,0,12.4,3,4,1,55,CAMDEN              MO,2,02/1988
1.7,2.43343,597.85675,Y,0,20.3,6,2,1,92,MIDDLESEX           MA,2,03/1988
1.2,2.04101,641.183,Y,0,13.1,8,4,1,61,NORFOLK             MA,2,03/1988
0.5,2.0569,433.44394,Y,0,0.0,5,4,1,78,GREENE              IN,2,04/1988
3.2,2.43343,570.61176,Y,0,10.3,6,4,1,42,MIDDLESEX           MA,2,03/1988
1.2,3.43326,364.9583,N,1,23.5,3,7,1,64,PIMA                AZ,0,04/1988
1.4,3.11518,359.16406,N,1,24.6,3,3,1,68,MARICOPA            AZ,2,03/1988
0.5,0.810536,1177.3773,Y,1,54.1,5,3,1,21,MILLE LACS          MN,2,12/1987
0.9,1.72085,438.80835,N,1,26.8,4,3,1,41,FRANKLIN            MO,2,01/1988
6.5,1.36463,110.44374,N,0,4.9,4,2,1,47,RICHLAND            ND,2,02/1988
1.3,2.49759,288.8893,Y,0,19.8,2,0,1,112,ALLEN               IN,2,03/1989
2.2,2.24475,675.416,Y,0,10.9,6,4,1,120,MERCER              PA,0,03/1989
4.2,2.08592,1020.33856,N,1,6.2,3,1,1,66,MADISON             IN,6,04/1988
0.1,2.43343,628.9107,Unknown,9,0.0,6,0,0,8,MIDDLESEX           MA,3,03/1988
6.3,2.55323,351.82404,Y,0,5.6,4,4,1,113,BEAVER              PA,0,03/1989
2.4,1.16237,486.6377,Y,0,11.8,2,4,1,89,ELKHART             IN,2,01/1989
2.1,2.5116,596.0751,Y,0,17.0,5,4,1,33,WORCESTER           MA,2,03/1988
3.2,1.62023,106.26117,Unknown,1,7.9,4,0,0,52,GRAND FORKS         ND,0,03/1988
3.1,2.66527,378.24384,N,1,8.0,2,1,1,77,YAVAPAI             AZ,5,04/1988
14.0,2.10811,438.80835,Unknown,0,2.6,1,0,1,58,JACKSON             MO,2,01/1988
1.4,1.48399,199.79611,Unknown,0,18.4,5,0,0,73,WARD                ND,2,03/1988
1.1,3.11518,364.9583,N,1,18.8,3,3,1,57,MARICOPA            AZ,0,03/1988
0.1,1.30385,303.79205,Y,0,0.0,1,4,1,121,LA PORTE            IN,2,03/1989
1.1,2.42466,136.06097,N,1,14.7,1,3,1,25,NAVAJO              AZ,3,11/1987
2.1,1.70512,102.850044,N,1,9.8,2,3,1,64,EMMONS              ND,0,03/1988
1.4,2.06239,173.52339,Y,0,16.9,4,4,1,94,CLARK               IN,0,02/1989
0.5,3.11518,364.9583,N,1,0.0,3,2,1,124,MARICOPA            AZ,0,07/1988
1.6,3.11518,363.43207,N,1,20.7,3,3,1,77,MARICOPA            AZ,2,04/1988
6.5,2.00698,695.08405,Y,0,4.9,7,4,1,51,ESSEX               MA,5,03/1988
3.7,2.12421,426.79886,N,1,7.8,1,7,1,51,PLATTE              MO,0,02/1988
21.5,2.49651,1065.3071,Y,0,2.4,2,4,1,97,YORK                PA,0,02/1989
2.0,2.05186,993.15466,N,1,10.8,2,0,0,56,CUMBERLAND          PA,2,11/1988
9.0,1.25133,921.8649,Y,0,3.8,4,2,1,4,FREEBORN            MN,2,02/1988
4.8,2.24448,478.26804,N,1,5.7,2,3,1,66,WABASH              IN,2,04/1988
1.8,2.28582,1074.0137,Y,0,11.1,5,4,1,100,CAMBRIA             PA,8,02/1989
2.0,2.29935,288.8893,Y,0,14.2,2,4,1,81,WHITLEY             IN,2,04/1988
1.7,2.49759,292.21954,N,1,16.3,2,2,1,54,ALLEN               IN,7,03/1988
0.3,3.11518,364.9583,N,1,0.0,3,1,2,67,MARICOPA            AZ,0,04/1988
1.0,1.79318,478.26804,Y,0,27.8,1,4,1,89,LAKE                IN,2,12/1988
1.3,3.43326,359.16406,N,1,18.6,3,7,5,88,PIMA                AZ,0,06/1988
1.3,2.29935,288.8893,N,1,15.1,2,2,1,63,WHITLEY             IN,2,03/1988
4.2,2.04101,570.61176,Y,0,7.6,8,4,1,50,NORFOLK             MA,2,03/1988
1.5,2.04101,570.61176,Y,0,20.8,8,4,1,86,NORFOLK             MA,2,03/1988
4.4,1.16849,1088.9857,Y,0,7.5,5,4,1,43,DOUGLAS             MN,9,02/1988
5.3,0.544319,1024.4429,Y,0,6.8,2,7,1,1,CASS                MN,0,03/1988
1.8,2.13528,789.0981,N,1,19.6,6,3,1,25,STODDARD            MO,2,12/1987
7.2,1.91522,53.39241,Y,0,4.5,1,2,1,5,STARK               ND,2,03/1988
0.5,2.34707,378.24384,N,9,0.0,3,0,0,94,COCHISE             AZ,2,06/1988
1.6,1.92957,443.8437,Y,0,14.4,3,7,1,65,PETTIS              MO,8,02/1988
4.0,1.42956,596.0751,Y,0,7.1,10,4,1,33,PLYMOUTH            MA,4,03/1988
5.0,2.10811,438.80835,Y,0,7.7,1,4,1,79,JACKSON             MO,2,02/1988
0.7,3.15469,351.82404,N,1,36.6,7,2,1,127,MONROE              PA,2,03/1989
3.6,2.57879,1074.0137,Y,0,7.3,5,4,1,60,WASHINGTON          PA,2,11/1988
3.7,2.55323,322.1076,Y,0,7.1,4,0,1,32,BEAVER              PA,8,03/1988
0.4,1.77056,430.94482,N,1,0.0,3,1,1,49,DENT                MO,2,01/1988
2.3,1.14684,102.850044,Y,1,10.2,3,3,1,8,MCHENRY             ND,2,03/1988
0.2,1.69837,288.8893,N,0,0.0,1,1,1,31,PORTER              IN,2,01/1988
1.1,1.66622,896.2607,Y,0,17.5,4,4,1,9,ST LOUIS CITY       MO,1,03/1988
0.5,1.76109,426.79886,Y,0,0.0,3,3,1,10,COLE                MO,2,03/1988
14.4,2.61898,322.1076,Y,0,3.6,4,2,1,76,BUTLER              PA,10,12/1988
7.2,1.47264,1088.9857,Y,0,5.3,5,4,1,21,BIG STONE           MN,8,12/1987
1.5,3.43326,363.43207,N,1,11.0,3,2,1,1,PIMA                AZ,2,04/1988
0.9,1.66622,949.15137,Y,0,23.1,4,4,1,57,ST LOUIS CITY       MO,0,02/1988
3.1,2.84751,341.6855,Y,0,7.7,7,4,1,96,BRADFORD            PA,0,02/1989
4.0,1.77863,55.90113,Y,0,7.4,1,2,1,73,MORTON              ND,7,03/1988
1.1,3.11518,364.9583,N,1,21.4,3,2,1,89,MARICOPA            AZ,5,06/1988
1.7,2.43343,597.85675,Y,0,19.5,6,4,1,34,MIDDLESEX           MA,2,03/1988
0.3,3.43326,364.80402,N,1,0.0,3,2,1,38,PIMA                AZ,2,12/1987
5.4,0.695222,4.561508,N,1,6.2,1,1,1,-1,SAGINAW CHIPPEWA    MI,8,03/1988
1.1,3.11518,364.80402,N,1,22.5,3,2,1,63,MARICOPA            AZ,2,03/1988
8.6,1.85438,48.82277,Y,0,3.9,2,4,1,49,DUNN                ND,2,02/1988
5.5,2.06239,478.26804,N,1,5.0,4,2,1,93,CLARK               IN,2,02/1989
4.1,3.11518,359.16406,N,1,6.6,3,3,1,68,MARICOPA            AZ,2,03/1988
4.9,1.67647,110.44374,N,1,4.8,4,2,1,5,TRAILL              ND,3,03/1988
6.1,2.5116,596.0751,Y,0,4.5,5,0,1,78,WORCESTER           MA,2,03/1988
2.0,3.43326,363.43207,N,1,15.7,3,0,1,29,PIMA                AZ,2,11/1987
1.8,2.4165,1074.0137,Y,0,10.7,3,4,1,106,LYCOMING            PA,2,03/1989
5.5,2.57879,993.15466,Y,0,4.9,5,4,1,94,WASHINGTON          PA,0,02/1989
0.9,0.537899,3.371429,N,1,51.1,1,2,1,-1,GRAND TRAVERSE      MI,2,03/1988
2.6,1.57138,443.8437,Y,0,7.6,3,0,2,21,CAMDEN              MO,3,01/1988
1.8,3.11518,364.9583,N,1,19.8,3,7,1,44,MARICOPA            AZ,2,01/1988
8.4,1.394,294.1031,Y,0,4.0,2,4,1,22,STEUBEN             IN,0,12/1987
0.7,2.43343,649.2395,Y,0,48.2,6,4,1,84,MIDDLESEX           MA,5,03/1988
7.6,2.4165,993.15466,Y,0,4.3,3,4,1,121,LYCOMING            PA,0,04/1989
3.3,3.11518,363.43207,N,1,15.8,3,1,1,66,MARICOPA            AZ,2,03/1988
0.7,3.15469,351.82404,Y,0,22.7,7,4,1,112,MONROE              PA,2,02/1989
1.2,2.04101,579.39685,Y,0,18.9,8,4,1,22,NORFOLK             MA,7,03/1988
0.6,2.49759,292.21954,N,1,27.6,2,2,1,78,ALLEN               IN,7,04/1988
1.1,2.04101,628.9107,Y,0,17.5,8,4,1,79,NORFOLK             MA,2,03/1988
1.8,0.0,596.0751,Y,0,12.1,1,2,1,89,BARNSTABLE          MA,2,03/1988
2.9,0.866849,990.41156,Y,0,7.3,5,4,1,4,BENTON              MN,4,02/1988
1.4,3.11518,359.16406,Unknown,9,66.0,3,0,0,31,MARICOPA            AZ,10,12/1987
2.3,2.43343,625.01996,Y,0,15.0,6,7,1,68,MIDDLESEX           MA,0,04/1988
3.9,2.07311,1020.33856,Y,0,6.4,2,4,1,94,CASS                IN,0,02/1989
3.6,2.56866,1065.3071,Y,0,10.7,9,2,1,85,ALLEGHENY           PA,2,02/1989
2.0,2.1283,675.416,Y,0,17.6,6,4,1,103,ERIE                PA,2,03/1989
1.7,0.913006,18.375,Y,0,19.4,4,1,1,-1,BAD RIVER           WI,2,02/1988
4.9,1.33728,109.027016,Y,0,8.6,6,4,1,43,STUTSMAN            ND,0,03/1988
0.2,3.43326,378.24384,N,1,0.0,3,3,1,93,PIMA                AZ,3,06/1988
1.6,0.849343,6.461538,N,1,20.4,2,3,1,-1,MILLIE LACS         MN,2,02/1988
2.8,2.67031,1060.5416,Y,0,10.4,3,4,1,25,NORTHUMBERLAND      PA,0,03/1988
9.5,2.06239,167.08087,Y,0,3.2,4,4,1,27,CLARK               IN,0,04/1988
1.4,2.67869,550.75684,Y,0,13.1,8,4,1,106,LUZERNE             PA,2,02/1989
0.4,1.79318,433.44394,Y,0,0.0,1,7,1,65,LAKE                IN,2,03/1988
5.8,2.29935,292.21954,Y,0,5.6,2,4,1,124,WHITLEY             IN,2,03/1989
12.7,1.70553,192.26389,Y,0,3.5,4,4,1,59,CASS                ND,1,03/1988
1.6,0.0,596.0751,N,1,11.7,1,3,1,34,BARNSTABLE          MA,2,03/1988
1.6,1.12399,475.38745,Y,0,13.4,1,0,1,82,ST JOSEPH           IN,7,04/1988
2.7,2.29935,329.47784,Y,0,8.3,2,0,1,37,WHITLEY             IN,2,01/1988
2.2,0.622088,471.3662,Y,0,19.4,1,4,1,49,ST LOUIS            MN,0,02/1988
0.8,2.02058,430.94482,N,1,22.8,6,3,1,92,HOWELL              MO,0,04/1988
4.5,1.91522,55.90113,Y,0,5.4,1,2,1,59,STARK               ND,3,02/1988
6.0,2.04444,1060.5416,N,1,5.1,2,2,1,130,DAUPHIN             PA,0,04/1989
3.1,1.77863,62.80399,Y,0,8.3,1,2,1,45,MORTON              ND,0,03/1988
